address,price,details
"1441 Woodstream Ave, Oshawa, ON L1K 0W9","C$1,299,000",4 bds5 ba- House for sale
"611 Galahad Dr #62, Oshawa, ON L1K 1M1","C$599,000",3 bds1 ba- Condo for sale
"1221 Grandview St N, Oshawa, ON L1K 2S9","C$1,250,000",4 bds4 ba- House for sale
"16 Hill Rise Ct #2500, Oshawa, ON L1L 0J5","C$528,000",2 bds2 ba- Condo for sale
"1062 Beatrice St E, Oshawa, ON L1K 2K5","C$769,900",3 bds3 ba- House for sale
"2589 Craftsman Dr, Oshawa, ON L1L 0M3","C$999,000",4 bds3 ba- House for sale
"448 Wilson Rd N, Oshawa, ON L1G 6E7","C$699,000",3 bds2 ba- House for sale
"762 Greenbriar Dr, Oshawa, ON L1G 7J6","C$688,000",4 bds3 ba- House for sale
"1473 Connery Cres, Oshawa, ON L1J 8E6","C$549,900",3 bds4 ba- House for sale
"1172 Stire St, Oshawa, ON L1K 0G4","C$1,049,000",5 bds4 ba- House for sale
"155 Glovers Rd #110, Oshawa, ON L1G 7A4","C$499,900",3 bds2 ba- Townhouse for sale
"395 Maplewood Dr, Oshawa, ON L1G 5R7","C$559,900",3 bds2 ba- House for sale
"381 Mary St N, Oshawa, ON L1G 5C9","C$789,000",4 bds4 ba- House for sale
"1055 Central Park Blvd #2, Oshawa, ON L1G 7M4","C$489,900",4 bds2 ba- Condo for sale
"1198 Valley Dr, Oshawa, ON L1J 3M7","C$597,900",3 bds2 ba- House for sale
"2333 Hackett Pl, Oshawa, ON L1L 0A2","C$1,099,000",4 bds4 ba- House for sale
"2500 Hill Rise Ct UNIT 16, Oshawa, ON L1L 0J5","C$635,000",2 bds2 ba- Townhouse for sale
"1347 Cedar St, Oshawa, ON L1J 3S4","C$549,000",2 bds2 ba- House for sale
"173 Ritson Rd S, Oshawa, ON L1H 5H4","C$599,900",4 bds2 ba- House for sale
"700 Harmony Rd N UNIT 41, Oshawa, ON L1K 1S2","C$545,000",2 bds2 ba- Townhouse for sale
"774 Shelley Ave, Oshawa, ON L1H 3J6","C$849,900",3 bds2 ba- House for sale
"51 Britannia Ave E, Oshawa, ON L1L 0C1","C$999,000",4 bds5 ba- House for sale
"2284 Winlord Pl, Oshawa, ON L1L 0B8","C$750,000",3 bds4 ba- House for sale
"647 Grandview Dr, Oshawa, ON L1H 7V9","C$649,900",3 bds2 ba- House for sale
"793 Myers St, Oshawa, ON L1H 5M9","C$850,000",3 bds2 ba- House for sale
"267 Fleetwood Dr, Oshawa, ON L1K 1B9","C$1,300,000",4 bds3 ba- House for sale
"986 Langford St, Oshawa, ON L1K 2W1","C$909,900",4 bds3 ba- House for sale
"2500 Hill Rise Ct #104, Oshawa, ON L1L 0M6","C$589,900",2 bds3 ba- Condo for sale
"1896 Cheesewright Ct, Oshawa, ON L1K 0W9","C$1,414,900",4 bds4 ba- House for sale
"405 Bovin Ave, Oshawa, ON L1L 0C6","C$1,185,000","5 bds3 ba2,890 sqft- House for sale"
"1338 Harlstone Cres, Oshawa, ON L1K 0N5","C$918,888",3 bds3 ba- House for sale
"585 Bon Echo Dr, Oshawa, ON L1J 6A3","C$549,900",3 bds3 ba- House for sale
"1700 Douglas Langtree Dr, Oshawa, ON L1K 0X3","C$999,900",4 bds4 ba- House for sale
"1900 Simcoe St N #719, Oshawa, ON L1G 0C1","C$239,000",Studio1 ba- Condo for sale
"422 Grange Ct, Oshawa, ON L1G 7J1","C$749,000",3 bds3 ba- House for sale
"2589 Bromus Path, Oshawa, ON L1L 0K7","C$725,000",4 bds3 ba- Townhouse for sale
"40 Foal Path, Oshawa, ON L1L 0L2","C$649,000",3 bds3 ba- Condo for sale
"Division St #208, Oshawa, ON L1G 5L7","C$1,899,900",9 bds8 ba- House for sale
"1171 Attersley Dr, Oshawa, ON L1K 1X9","C$689,900",3 bds2 ba- House for sale
"2500 Hill Rise Ct #62, Oshawa, ON L1L 0M6","C$575,000",3 bds3 ba- Condo for sale
"274 Central Park Blvd S, Oshawa, ON L1H 5X1","C$650,000",3 bds2 ba- House for sale
"2402 Chevron Prince Path, Oshawa, ON L1L 0L1","C$719,000",3 bds3 ba- Townhouse for sale
"374 Poplar St, Oshawa, ON L1H 6P8","C$1,800,000",9 bds7 ba- House for sale
"93 Brock St W, Oshawa, ON L1G 1R7","C$659,000",3 bds3 ba- House for sale
"2687 Deputy Minister Path #43, Oshawa, ON L1L 0M7","C$699,900",4 bds3 ba- Townhouse for sale
"429 Fleetwood Dr, Oshawa, ON L1K 1C2","C$675,000",3 bds2 ba- House for sale
"2500 Hill Rise Ct #95, Oshawa, ON L1L 0M6","C$635,000",3 bds3 ba- Condo for sale
"2468 New Providence St, Oshawa, ON L1L 0G2","C$1,389,000",6 bds4 ba- House for sale
"16 Nearco Cres, Oshawa, ON L1L 0J4","C$649,998",2 bds2 ba- Townhouse for sale
"569 Blythwood Sq, Oshawa, ON L1K 2R7","C$935,000",4 bds4 ba- House for sale
"621 Pondtail Ct, Oshawa, ON L1K 2C7","C$699,900",4 bds4 ba- House for sale
"218 Glenwood Cres, Oshawa, ON L1G 3B1","C$899,000",3 bds2 ba- House for sale
"1151 Conlin Rd E, Oshawa, ON L1K 0Y8","C$1,500,000",4 bds2 ba- House for sale
"1800 Simcoe St N #305, Oshawa, ON L1G 0C2","C$229,000",Studio1 ba- Condo for sale
"187 Columbus Rd W, Oshawa, ON L1H 7K4","C$1,590,000",4 bds4 ba- House for sale
"663 Emerson Ct, Oshawa, ON L1H 3L1","C$699,000",4 bds2 ba- House for sale
"332 Preston Dr, Oshawa, ON L1J 6Y7","C$799,999",3 bds4 ba- House for sale
"454 Centre St S #114, Oshawa, ON L1H 4C2","C$400,000",4 bds2 ba- Townhouse for sale
"514 Ritson Rd S, Oshawa, ON L1H 5K4","C$795,000",4 bds3 ba- House for sale
"43 Elgin St E, Oshawa, ON L1G 1S9","C$719,900",5 bds3 ba- House for sale
"142 Britannia Ave E, Oshawa, ON L1L 0E8","C$999,900",4 bds3 ba- House for sale
"955 Downing Ct, Oshawa, ON L1G 7P9","C$749,900",3 bds3 ba- House for sale
"955 Renaissance Dr, Oshawa, ON L1J 8E9","C$790,000",3 bds3 ba- House for sale
"1352 Minden St, Oshawa, ON L1J 3R4","C$699,900",5 bds3 ba- House for sale
"269 Pimlico Dr, Oshawa, ON L1L 0L3","C$899,000",4 bds4 ba- House for sale
"344 Ryerson Cres, Oshawa, ON L1G 8B6","C$998,000",7 bds4 ba- House for sale
"1433 Birchcliffe Ct, Oshawa, ON L1J 7Z8","C$599,990",2 bds2 ba- House for sale
"715 Grandview St #67, Oshawa, ON L1K 0N2","C$699,900",3 bds3 ba- Townhouse for sale
"Total Towns, Oshawa, ON L1H 7K5","C$750,000",Studio-- ba- House for sale
"507 Windfields Farm Dr W, Oshawa, ON L1L 0L7","C$899,000",4 bds3 ba- House for sale
"1627 Rockaway St, Oshawa, ON L1K 0L9","C$1,049,000",4 bds4 ba- House for sale
"302 French St, Oshawa, ON L1G 5N5","C$459,900",2 bds1 ba- House for sale
"501 Fairleigh Ave, Oshawa, ON L1J 2W7","C$699,000",5 bds2 ba- House for sale
"2408 Dress Circle Cres, Oshawa, ON L1L 0L9","C$998,000",4 bds4 ba- House for sale
"2121/2 Northminster Ct, Oshawa, ON L1G 7M6","C$549,900",3 bds2 ba- House for sale
"2352 Hill Rise St, Oshawa, ON L1L 0G8","C$729,000",3 bds4 ba- Townhouse for sale
"1157 Ashcroft Ct, Oshawa, ON L1K 2N9","C$999,000",4 bds3 ba- House for sale
"26 Fairbanks St, Oshawa, ON L1H 2L8","C$270,000",3 bds3 ba- House for sale
"24 Fairbanks St, Oshawa, ON L1H 2L8","C$970,000",8 bds3 ba- House for sale
"291 Olive Ave, Oshawa, ON L1H 2P1","C$1,100,000",5 bds3 ba- House for sale
"385 Arctic Red Dr #411, Oshawa, ON L1L 0H8","C$552,990",1 bd1 ba- Condo for sale
"385 Arctic Red Dr #322, Oshawa, ON L1L 0H8","C$745,990",2 bds2 ba- Condo for sale
"385 Arctic Red Dr #103, Oshawa, ON L1L 0H8","C$690,990",2 bds2 ba- Condo for sale
"1066 Schooling Dr, Oshawa, ON L1K 0N9","C$649,900","4 bds4 ba2,380 sqft- House for sale"
"2366 Chevron Prince Path, Oshawa, ON L1L 0K9","C$499,999",3 bds1 ba- House for sale
"2105 Stornoway St, Oshawa, ON L1L 1C3","C$769,000","3 bds4 ba1,146 sqft- House for sale"
"1644 Woodgate Trl, Oshawa, ON L1G 8B5","C$569,000",3 bds3 ba- Townhouse for sale
"1668 Spencely Dr, Oshawa, ON L1K 0B2","C$569,900",3 bds3 ba- House for sale
"1107 Schooling Dr, Oshawa, ON L1K 0S3","C$600,000",4 bds3 ba- House for sale
"82 Montrave Ave, Oshawa, ON L1J 4R7","C$738,888",1 bd1 ba- House for sale
"129 Sharavogue Ave, Oshawa, ON L1L 0G4","C$699,000",4 bds4 ba- House for sale
