address,price,details
"3 Hiram Rd, Richmond Hill, ON L4C 9G2","C$1,880,000",5 bds5 ba- House for sale
"14 Dunton Ln, Richmond Hill, ON L4B 0G4","C$1,088,000",4 bds6 ba- Townhouse for sale
"34 Paper Mills Cres, Richmond Hill, ON L4E 0V5","C$1,398,000",4 bds5 ba- Townhouse for sale
"47 Bloomgate Cres, Richmond Hill, ON L4E 4E2","C$868,888",3 bds3 ba- Townhouse for sale
"5 Glenayr Rd, Richmond Hill, ON L4B 2J5","C$2,488,000",4 bds7 ba- House for sale
"189 Lucas St, Richmond Hill, ON L4C 4P8","C$1,398,000",4 bds4 ba- House for sale
"185 Oneida Cres #102, Richmond Hill, ON L4B 0B1","C$550,000",2 bds2 ba- Condo for sale
"119 Arnold Cres, Richmond Hill, ON L4C 3R7","C$2,200,000",-- sqft lot- Lot / Land for sale
"9608 Yonge St #213A, Richmond Hill, ON L4C 0X4","C$512,000",1 bd1 ba- Condo for sale
"7 Terracotta Cres, Richmond Hill, ON L4E 4L8","C$1,390,000",4 bds4 ba- House for sale
"87 Oxford St, Richmond Hill, ON L4C 4L6","C$1,599,000",7 bds4 ba- House for sale
"25 Westbourne Ct, Richmond Hill, ON L4E 2K8","C$1,388,888",4 bds3 ba- House for sale
"159 Snively St, Richmond Hill, ON L4E 3E9","C$839,000",-- sqft lot- Lot / Land for sale
"157 Snively St, Richmond Hill, ON L4E 3E9","C$815,000",-- sqft lot- Lot / Land for sale
"155 Snively St, Richmond Hill, ON L4E 3E9","C$815,000",-- sqft lot- Lot / Land for sale
"7 Paddle Gate, Richmond Hill, ON L4E 3Y3","C$1,088,500",3 bds3 ba- House for sale
"18 Leora Ct, Richmond Hill, ON L4C 7N3","C$999,000",3 bds3 ba- House for sale
"72 Regatta Ave, Richmond Hill, ON L4E 4R1","C$1,199,000",4 bds4 ba- House for sale
"7 Bond Cres #408, Richmond Hill, ON L4E 1E6","C$1,885,000",1 bd2 ba- Condo for sale
"75 Weldrick Rd E #701, Richmond Hill, ON L4C 0H9","C$739,000",3 bds3 ba- Townhouse for sale
"168 Maple Ave, Richmond Hill, ON L4C 2J1","C$3,180,000",5 bds6 ba- House for sale
"18 Lacona Cres, Richmond Hill, ON L4E 4G6","C$1,499,000",4 bds5 ba- House for sale
"82 Beresford Dr, Richmond Hill, ON L4B 4J5","C$949,000",3 bds3 ba- Townhouse for sale
"Elles St #107, Richmond Hill, ON L4E 1G3","C$1,349,990",3 bds4 ba- Townhouse for sale
"101 Holly Dr, Richmond Hill, ON L4S 2R6","C$1,299,000",4 bds5 ba- House for sale
"4 Crescendo Ave, Richmond Hill, ON L4S 2V6","C$1,139,000",4 bds4 ba- House for sale
"18 Hillhurst Dr, Richmond Hill, ON L4B 3B7","C$2,080,000",4 bds4 ba- House for sale
"101 Pemberton Rd, Richmond Hill, ON L4C 3T6","C$4,199,000",5 bds7 ba- House for sale
"406 Crosby Ave, Richmond Hill, ON L4C 2R7","C$1,188,000",5 bds2 ba- House for sale
"9618 Yonge St #225, Richmond Hill, ON L4C 0X5","C$569,000",2 bds2 ba- Condo for sale
"7 Blyth St, Richmond Hill, ON L4E 2X8","C$3,388,000",5 bds6 ba- House for sale
"20 Baif Blvd UNIT 1009, Richmond Hill, ON L4C 8T1","C$650,000",3 bds2 ba- Condo for sale
