address,price,details
"24 Stately Way, Markham, ON L3T 3Z8","C$599,900",3 bds2 ba- Condo for sale
"12 Windridge Dr, Markham, ON L3P 1T8","C$1,289,000",4 bds2 ba- House for sale
"16 Colonsay Rd, Markham, ON L3T 3E8","C$1,288,000",3 bds3 ba- House for sale
"1 Beaufort Way, Markham, ON L6C 0Y7","C$1,280,000",4 bds4 ba- Townhouse for sale
"9 Coleraine Ave, Markham, ON L3S 2L8","C$1,118,888",4 bds4 ba- House for sale
"20 Westmeath Ln #2315, Markham, ON L6B 1N5","C$428,888",1 bd1 ba- Condo for sale
"52 Kentley St, Markham, ON L6C 3G2","C$1,390,000",4 bds5 ba- House for sale
"11 Gladiator Rd, Markham, ON L3P 1J1","C$1,099,000",3 bds2 ba- House for sale
"16 Rainsford Rd, Markham, ON L3P 6J9","C$1,299,000",4 bds4 ba- House for sale
"20 Petly Ln #24, Markham, ON L3R 2L8","C$688,000",3 bds3 ba- Townhouse for sale
"80 Inverlochy Blvd #404, Markham, ON L3T 4P3","C$489,000",3 bds2 ba- Condo for sale
"15 Water Walk Dr #915, Markham, ON L3P 1N3","C$688,888",1 bd1 ba- Condo for sale
"16 Eakin Mill Rd, Markham, ON L6E 1M7","C$1,090,000",4 bds3 ba- House for sale
"55 Lindcrest Mnr #1002, Markham, ON L6B 1N3","C$749,000",4 bds3 ba- Condo for sale
"43 Truchard Ave, Markham, ON L6C 0N2","C$1,099,000",4 bds3 ba- Townhouse for sale
"16 Wingrove St, Markham, ON L6E 1G6","C$899,000",3 bds4 ba- House for sale
"26 Irenemount Cres, Markham, ON L3S 3C4","C$1,090,000",4 bds5 ba- House for sale
"292 Buchanan Dr, Markham, ON L3R 9P8","C$1,495,000",5 bds6 ba- Townhouse for sale
"61 Prince Charles Way, Markham, ON L6C 0B4","C$699,000",3 bds2 ba- Townhouse for sale
"9 Stollery Pond Cres #615, Markham, ON L6C 0Y1","C$999,000",2 bds2 ba- Condo for sale
"22 Wahba Way, Markham, ON L3S 0C1","C$1,049,900",4 bds3 ba- House for sale
"33 Hyderabad Ln, Markham, ON L6E 0T8","C$920,000",4 bds3 ba- Townhouse for sale
"256 Buchanan Dr, Markham, ON L3R 9P8","C$1,495,000",5 bds6 ba- Townhouse for sale
"8130 Birchmount Rd #804, Markham, ON L6G 0E4","C$629,800",1 bd2 ba- Condo for sale
"159 Riverwalk Dr, Markham, ON L6B 0C8","C$1,399,900",4 bds4 ba- House for sale
"50 Neeland Rd, Markham, ON L3S 1W8","C$949,000",4 bds4 ba- House for sale
"4608 Steeles Ave E #6, Markham, ON L3R 6B6","C$799,000",4 bds4 ba- Condo for sale
"63 Legends Way, Markham, ON L3R 6B1","C$1,018,000",3 bds3 ba- Condo for sale
"7825 Bayview Ave UNIT 611, Markham, ON L3T 7N2","C$1,499,000",3 bds3 ba- Condo for sale
"7373 Kennedy Rd PENTHOUSE 1, Markham, ON L3R 1H6","C$629,000",4 bds2 ba- Condo for sale
"139 Dundas Way, Markham, ON L6E 0T1","C$869,000",4 bds4 ba- Townhouse for sale
"78 Schouten Cres, Markham, ON L3P 7W7","C$788,000",3 bds3 ba- House for sale
"7 Nichols Blvd, Markham, ON L6C 2Y9","C$1,399,000",4 bds5 ba- House for sale
"81 Tomlinson Cir, Markham, ON L3R 9J4","C$1,488,000",4 bds4 ba- House for sale
"16 Autumn Glow Dr, Markham, ON L6B 0P4","C$1,199,000",3 bds3 ba- House for sale
"84 Sherwood Forest Dr, Markham, ON L3P 1R1","C$888,000",4 bds2 ba- House for sale
"255 Alfred Paterson Dr, Markham, ON L6E 2G1","C$1,098,000",4 bds3 ba- House for sale
"14 Gordon Weeden Rd, Markham, ON L6E 1Y5","C$1,199,000",4 bds4 ba- House for sale
"20 Liebeck Cres, Markham, ON L3R 1Y5","C$1,680,000",4 bds4 ba- House for sale
"33 Eastwood Cres, Markham, ON L3P 5Z8","C$1,330,000","5 bds4 ba3,599 sqft- House for sale"
