address,price,details
"100 Promenade Cir #1409, Vaughan, ON L4J 7W7","C$498,000",1 bd1 ba- Condo for sale
"8777 Dufferin St #13, Vaughan, ON L4J 8W3","C$899,000",3 bds3 ba- Townhouse for sale
"110 Promenade Cir #512, Vaughan, ON L4J 7W8","C$788,807",2 bds2 ba- Condo for sale
"7 Brighton Pl #54, Vaughan, ON L4J 0H1","C$899,900",3 bds3 ba- House for sale
"43 Roseborough Cres, Vaughan, ON L4J 4T7","C$1,399,000",4 bds4 ba- House for sale
"10614 Bathurst St, Vaughan, ON L6A 4Y4","C$899,800",3 bds3 ba- Townhouse for sale
"152 Vanguard Rd, Vaughan, ON L4K 5G8","C$999,900",3 bds3 ba- Townhouse for sale
"17 Fitzmaurice Dr, Vaughan, ON L6A 4X7","C$1,999,999",5 bds6 ba- House for sale
"71 Goyo Gate, Vaughan, ON L6A 3T3","C$1,149,000",3 bds3 ba- House for sale
"5299 Highway 7 St #C603, Vaughan, ON L4L 0J1","C$749,000",2 bds3 ba- Townhouse for sale
"32 Kimbergate Way, Vaughan, ON L4J 6R5","C$1,198,880",4 bds4 ba- House for sale
"26 Bruce St #D09, Vaughan, ON L4L 0H4","C$668,888",2 bds2 ba- Townhouse for sale
"237 Deerchase Cir, Vaughan, ON L4H 1G9","C$2,199,900",4 bds5 ba- House for sale
"46 Burgundy Trl, Vaughan, ON L4J 8V9","C$1,399,900",3 bds4 ba- House for sale
"10 Athena Ct, Vaughan, ON L4L 3H4","C$1,285,900",5 bds4 ba- House for sale
"10596 Bathurst St, Vaughan, ON L6A 4Y4","C$999,999",4 bds4 ba- Townhouse for sale
"57 Dimarino Dr, Vaughan, ON L6A 0E8","C$1,799,000",5 bds5 ba- House for sale
"168 Seabreeze Ave, Vaughan, ON L4J 9H2","C$1,580,000",4 bds5 ba- House for sale
"525 Chancellor Dr, Vaughan, ON L4L 5G2","C$1,199,000",4 bds4 ba- House for sale
"54 Carpaccio Ave, Vaughan, ON L4H 4R5","C$1,100,000","4 bds4 ba2,300 sqft- New construction"
"130 Gesher Cres, Vaughan, ON L6A 0W9","C$1,100,000",4 bds4 ba- House for sale
"98 Golden Trl, Vaughan, ON L6A 5A1","C$1,359,900",4 bds3 ba- Townhouse for sale
"132 Spring Gate Blvd, Vaughan, ON L4J 3L8","C$1,980,000",4 bds4 ba- House for sale
"38 Santina St, Vaughan, ON L4H 2M2","C$1,649,000",4 bds5 ba- House for sale
"6 Criscione Dr, Vaughan, ON L4H 1W9","C$1,357,900",5 bds4 ba- House for sale
"492 Greenock Dr, Vaughan, ON L6A 1M7","C$1,299,999",3 bds4 ba- House for sale
"2502 Rutherford Rd #204, Vaughan, ON L4K 5N6","C$699,900",2 bds2 ba- Condo for sale
"142 Ferdinand Ave, Vaughan, ON L6A 3H4","C$1,449,000",4 bds4 ba- House for sale
"89 Echo Ridge Cres, Vaughan, ON L4H 2K1","C$1,049,000",3 bds4 ba- House for sale
"41 Gianmarco Way, Vaughan, ON L6A 3J3","C$899,900",3 bds4 ba- Townhouse for sale
"82 Arianna Cres, Vaughan, ON L6A 4Z9","C$1,289,900",3 bds4 ba- Townhouse for sale
"19 Cedarpoint Ct, Vaughan, ON L6A 4P7","C$2,999,900",5 bds6 ba- House for sale
"7 Townsgate Dr #707, Vaughan, ON L4J 7Z9","C$814,987",2 bds2 ba- Condo for sale
"164 Parktree Dr, Vaughan, ON L6A 2W5","C$989,000",3 bds3 ba- Townhouse for sale
"210 Maple Sugar Ln, Vaughan, ON L4J 8V3","C$999,900",3 bds3 ba- House for sale
"15 Abner Miles Dr, Vaughan, ON L6A 4X6","C$2,499,900",5 bds7 ba- House for sale
"110 Promenade Cir #1612, Vaughan, ON L4J 7W8","C$838,000",2 bds2 ba- Condo for sale
"74 Chaiwood Ct, Vaughan, ON L6A 0V9","C$2,999,999",4 bds6 ba- House for sale
"9560 Islington Ave #228, Vaughan, ON L4H 4Z5","C$788,888","2 bds3 ba1,110 sqft- Townhouse for sale"
"3 Ivy Glen Dr, Vaughan, ON L6A 0P3","C$1,999,999",5 bds4 ba- House for sale
"2900 Highway 7 Rd #3407, Vaughan, ON L4K 0G3","C$840,000",2 bds2 ba- Condo for sale
"72 Glen Cres, Vaughan, ON L4J 4W6","C$1,320,000",5 bds4 ba- House for sale
"41 Laskin Dr, Vaughan, ON L6A 5A4","C$999,800",3 bds4 ba- Townhouse for sale
"83 Roseheath Dr, Vaughan, ON L6A 2B6","C$889,000",3 bds3 ba- Townhouse for sale
"5 Angelico Ave, Vaughan, ON L4H 3L3","C$1,299,000",3 bds3 ba- House for sale
"116 Cabernet Rd, Vaughan, ON L4J 8V7","C$1,118,000",3 bds3 ba- Townhouse for sale
"122 Vittorio De Luca Dr, Vaughan, ON L4L 0A8","C$924,900",3 bds3 ba- House for sale
"68 Neuchatel Ave, Vaughan, ON L4H 2Y3","C$1,424,990",5 bds4 ba- House for sale
"1 Maison Parc Ct #303, Vaughan, ON L4J 9K1","C$505,000",1 bd1 ba- Condo for sale
"2 Savona Pl, Vaughan, ON L6A 4H4","C$1,499,000",4 bds4 ba- House for sale
"2396 Major Mackenzie Dr W #207, Vaughan, ON L6A 4Y1","C$530,000",1 bd1 ba- Condo for sale
"9245 Jane St #1003, Vaughan, ON L6A 0J9","C$524,999",1 bd2 ba- Condo for sale
"49 Miranda Ct, Vaughan, ON L4J 7W5","C$1,999,000",4 bds5 ba- House for sale
"1 Maison Parc Ct #518, Vaughan, ON L4J 9K1","C$669,900",2 bds2 ba- Condo for sale
"9245 Jane St UNIT 1206, Vaughan, ON L6A 0J9","C$1,129,000",2 bds3 ba- Condo for sale
"125 David Todd Ave, Vaughan, ON L4H 1R4","C$1,099,000",4 bds4 ba- House for sale
"159 Green Bush Cres, Vaughan, ON L4J 5L8","C$1,418,000",6 bds4 ba- House for sale
"46 Derrywood Dr, Vaughan, ON L4K 5H5","C$1,214,000",4 bds4 ba- House for sale
"91 Townsgate Dr #808, Vaughan, ON L4J 8E8","C$619,999",2 bds2 ba- Condo for sale
"271 Kincardine St, Vaughan, ON L4H 4H8","C$1,285,000",3 bds4 ba- House for sale
"32 Kaia Ct, Vaughan, ON L6A 4T9","C$3,398,000",4 bds6 ba- House for sale
"93 Venice Gate Dr, Vaughan, ON L4H 0E8","C$1,149,000",3 bds4 ba- House for sale
"9 Sadot Ct, Vaughan, ON L4J 8A8","C$2,088,000",5 bds5 ba- House for sale
"33 Cherokee Dr, Vaughan, ON L6A 1X3","C$1,599,000",4 bds4 ba- House for sale
"333 Clark Ave W #401, Vaughan, ON L4J 7K4","C$799,000",2 bds2 ba- Condo for sale
"39 Old Firehall Ln #18, Vaughan, ON L4L 8W3","C$898,000",3 bds3 ba- Townhouse for sale
"138 District Ave, Vaughan, ON L6A 0Y3","C$2,088,000",4 bds6 ba- House for sale
"2 Hesperus Rd, Vaughan, ON L4J 0K3","C$1,699,000",4 bds6 ba- House for sale
"39 Monte Cristi St, Vaughan, ON L6A 3H8","C$1,180,000",3 bds5 ba- House for sale
"149 Hesperus Rd, Vaughan, ON L4J 0G9","C$1,588,000",4 bds4 ba- House for sale
"9235 Jane St #515, Vaughan, ON L6A 0J8","C$529,000","1 bd1 ba1,721 sqft- Condo for sale"
"58 Hendel Dr, Vaughan, ON L4J 9H7","C$1,800,000",5 bds5 ba- House for sale
