address,price,details
"Havelock D Plan, Ivy Ridge","C$864,990+","2 bds3 ba1,949 sqft- New construction"
"190 Westfield Dr, Whitby, ON L1P 0G2","C$1,029,900",4 bds3 ba- House for sale
"Tinsley D Plan, Ivy Ridge","C$1,074,990+","4 bds4 ba3,564 sqft- New construction"
"25 Glenmount Ct, Whitby, ON L1N 5M7","C$800,000",3 bds3 ba- House for sale
"Tinsley A Plan, Ivy Ridge","C$1,059,990+","4 bds4 ba3,549 sqft- New construction"
"10 Seaboard Gate, Whitby, ON L1N 9P7","C$1,099,900",2 bds3 ba- House for sale
"Lockton A Plan, Ivy Ridge","C$1,039,990+","4 bds4 ba3,067 sqft- New construction"
"75 Wimbledon Ct, Whitby, ON L1P 0B7","C$1,149,000",4 bds3 ba- House for sale
"87 Donald Fleming Way #1, Whitby, ON L1R 0N8","C$789,999",3 bds3 ba- Townhouse for sale
"Saxon D Plan, Ivy Ridge","C$944,990+","4 bds3 ba2,504 sqft- New construction"
"Argyle D Plan, Ivy Ridge","C$909,990+","2 bds3 ba1,696 sqft- New construction"
"Summerfield D Plan, Ivy Ridge","C$1,099,990+","4 bds4 ba3,591 sqft- New construction"
"Clevedon A Plan, Ivy Ridge","C$819,990+","3 bds3 ba1,709 sqft- New construction"
"8875 Baldwin St N, Whitby, ON L0B 1A0","C$1,099,999",3 bds2 ba- House for sale
"387 Prince Of Wales Dr, Whitby, ON L1N 6P3","C$675,000",2 bds2 ba- House for sale
"13 Bluegill Cres, Whitby, ON L1P 0E4","C$799,000",3 bds3 ba- Townhouse for sale
"Ripley B Plan, Ivy Ridge","C$899,990+","3 bds3 ba2,428 sqft- New construction"
"24 Donald Fleming Way, Whitby, ON L1R 0N8","C$789,000",3 bds3 ba- Condo for sale
"65 Wetherburn Dr, Whitby, ON L1P 1M8","C$1,499,900",5 bds4 ba- House for sale
"The Landing At Whitby Harbour, Whitby, ON L1N 1B9","C$460,000",Studio-- ba- Condo for sale
"55 Kantium Way, Whitby, ON L1N 0L4","C$789,900",3 bds3 ba- Townhouse for sale
"112 Braebrook Dr, Whitby, ON L1R 0M9","C$899,000",4 bds3 ba- House for sale
"Wentworth D Plan, Ivy Ridge","C$1,100,990+","4 bds4 ba3,688 sqft- New construction"
"Kendalwood D Plan, Ivy Ridge","C$995,990+","4 bds4 ba3,205 sqft- New construction"
"44 Elder Cres, Whitby, ON L1M 2H7","C$1,099,900",4 bds4 ba- House for sale
"Welton D Plan, Ivy Ridge","C$944,990+","4 bds4 ba2,701 sqft- New construction"
"LOT 258 Ogston Cres, Whitby, ON L1P 0H2","C$1,349,000",4 bds4 ba- House for sale
"4 Lyndhurst Cres, Whitby, ON L1R 1E4","C$1,750,000",5 bds5 ba- House for sale
"Summerfield B Plan, Ivy Ridge","C$1,074,990+","4 bds4 ba3,618 sqft- New construction"
"Highbury Gdns, Whitby, ON L1N 2J4","C$930,000",Studio-- ba- House for sale
"Lyndebrook B Plan, Ivy Ridge","C$1,022,990+","4 bds4 ba3,467 sqft- New construction"
"Lockton D Plan, Ivy Ridge","C$1,064,990+","4 bds4 ba3,054 sqft- New construction"
"8 Emmett Pl, Whitby, ON L1R 2B4","C$1,199,000",4 bds4 ba- House for sale
"Oakley A Plan, Ivy Ridge","C$895,990+","4 bds3 ba2,374 sqft- New construction"
"19 Shepherd Rd, Whitby, ON L1M 1G8","C$1,899,000",7 bds5 ba- House for sale
"Micklebe B Plan, Ivy Ridge","C$1,059,990+","4 bds4 ba3,265 sqft- New construction"
"Winchester D Plan, Ivy Ridge","C$986,990+","4 bds4 ba2,998 sqft- New construction"
"Brookside B Plan, Ivy Ridge","C$804,990+","2 bds2 ba1,337 sqft- New construction"
"Belmont D Plan, Ivy Ridge","C$969,990+","3 bds3 ba2,691 sqft- New construction"
"Welton B Plan, Ivy Ridge","C$929,990+","4 bds4 ba2,692 sqft- New construction"
"Tinsley B Plan, Ivy Ridge","C$1,069,990+","4 bds4 ba3,562 sqft- New construction"
"Drake A Plan, Ivy Ridge","C$1,014,990+","4 bds4 ba2,794 sqft- New construction"
"Leith A Plan, Ivy Ridge","C$869,990+","2 bds3 ba2,173 sqft- New construction"
"Ripley D Plan, Ivy Ridge","C$909,990+","3 bds3 ba2,422 sqft- New construction"
"Oakley D Plan, Ivy Ridge","C$905,990+","4 bds3 ba2,358 sqft- New construction"
"Wentworth B Plan, Ivy Ridge","C$1,095,990+","10 bds4 ba3,675 sqft- New construction"
"Brookside A Plan, Ivy Ridge","C$789,990+","2 bds2 ba1,337 sqft- New construction"
"Argyle B Plan, Ivy Ridge","C$889,990+","2 bds3 ba1,696 sqft- New construction"
"Oakley B Plan, Ivy Ridge","C$895,990+","4 bds3 ba2,365 sqft- New construction"
"Kendalwood B Plan, Ivy Ridge","C$993,990+","4 bds4 ba3,197 sqft- New construction"
"Clevedon B Plan, Ivy Ridge","C$829,990+","3 bds3 ba1,721 sqft- New construction"
"Havelock B Plan, Ivy Ridge","C$859,990+","3 bds3 ba1,951 sqft- New construction"
"Leith B Plan, Ivy Ridge","C$869,990+","4 bds3 ba2,163 sqft- New construction"
"Drake D Plan, Ivy Ridge","C$1,034,990+","4 bds4 ba2,794 sqft- New construction"
"Lyndebrook D Plan, Ivy Ridge","C$1,026,990+","4 bds4 ba3,475 sqft- New construction"
"Rosemount B Plan, Ivy Ridge","C$919,990+","4 bds3 ba2,571 sqft- New construction"
"Winchester B Plan, Ivy Ridge","C$969,990+","4 bds4 ba3,003 sqft- New construction"
"Drake B Plan, Ivy Ridge","C$1,029,990+","4 bds4 ba2,810 sqft- New construction"
"Saxon B Plan, Ivy Ridge","C$919,990+","4 bds3 ba2,509 sqft- New construction"
"Micklebe A Plan, Ivy Ridge","C$1,049,990+","4 bds4 ba3,258 sqft- New construction"
"Rosemount A Plan, Ivy Ridge","C$919,990+","4 bds3 ba2,569 sqft- New construction"
"Winchester A Plan, Ivy Ridge","C$964,990+","4 bds4 ba2,981 sqft- New construction"
"Lyndebrook A Plan, Ivy Ridge","C$1,019,990+","4 bds4 ba3,474 sqft- New construction"
"Lockton B Plan, Ivy Ridge","C$1,039,990+","4 bds4 ba3,084 sqft- New construction"
"Micklebe D Plan, Ivy Ridge","C$1,074,990+","4 bds4 ba3,262 sqft- New construction"
"Ripley A Plan, Ivy Ridge","C$899,990+","3 bds3 ba2,427 sqft- New construction"
"Laverick B Plan, Ivy Ridge","C$1,044,990+","4 bds4 ba3,007 sqft- New construction"
"Havelock A Plan, Ivy Ridge","C$849,990+","3 bds3 ba1,961 sqft- New construction"
"Wentworth A Plan, Ivy Ridge","C$1,085,990+","4 bds4 ba3,680 sqft- New construction"
"231 Corbett Ave, Whitby, ON L1N 9Z7","C$1,449,000","3 bds3 ba5,693 sqft- House for sale"
"Summerfield A Plan, Ivy Ridge","C$1,074,990+","4 bds4 ba3,610 sqft- New construction"
"Saxon A Plan, Ivy Ridge","C$919,990+","4 bds3 ba2,504 sqft- New construction"
"George Holley St, Whitby On, ON L1P 1Y5","C$825,000",4 bds3 ba- House for sale
"Laverick D Plan, Ivy Ridge","C$1,044,990+","4 bds4 ba3,007 sqft- New construction"
