address,price,details
"1041 Reflection Pl, Pickering, ON L1X 0E8","C$729,000",2 bds3 ba- Townhouse for sale
"1867 Kingston Rd #28, Pickering, ON L1V 6Z4","C$689,000",3 bds2 ba- Condo for sale
"1284 A Commerce St, Pickering, ON L1W 1C8","C$1,880,000",4 bds4 ba- House for sale
"1890 Liatris Dr, Pickering, ON L1X 0A4","C$850,000",3 bds3 ba- Townhouse for sale
"1340 Foxglove Ave, Pickering, ON L1W 1E9","C$799,000",3 bds1 ba- House for sale
"1423 Rosebank Rd, Pickering, ON L1V 1P3","C$1,370,800",3 bds2 ba- House for sale
"1735 Lane St, Pickering, ON L1Y 1B6","C$899,000",2 bds2 ba- House for sale
"1217 Monica Cook Pl, Pickering, ON L1W 4A4","C$998,000",4 bds4 ba- House for sale
"2538 Tillings Rd, Pickering, ON L1V 2P8","C$1,499,000",3 bds1 ba- House for sale
"523 Oakwood Dr, Pickering, ON L1W 2M8","C$1,898,000",2 bds1 ba- House for sale
"Elmer Plan, Seaton Whitevale","C$659,990+","3 bds2 ba1,432 sqft- New construction"
"3850 Kinsale Rd, Pickering, ON L1Y 1E2","C$2,350,000",4 bds4 ba- House for sale
"1645 Heathside Cres, Pickering, ON L1V 5W6","C$1,298,000",5 bds3 ba- House for sale
"1054 Dunbarton Rd, Pickering, ON L1V 1G8","C$1,829,000",4 bds4 ba- House for sale
"Nutowns, Pickering, ON L1V 2P8","C$700,000",Studio-- ba- House for sale
"1472 Old Forest Rd, Pickering, ON L1V 1N9","C$1,799,000",4 bds3 ba- House for sale
"692 Hillview Cres, Pickering, ON L1W 2R7","C$1,299,000",-- sqft lot- Lot / Land for sale
"1215 Bayly St #1107, Pickering, ON L1W 0B4","C$675,000",2 bds2 ba- Condo for sale
"710 Rosebank Rd, Pickering, ON L1W 4B2","C$1,200,000",-- sqft lot- Lot / Land for sale
"1021 Cameo St, Pickering, ON L1X 0G3","C$739,000","Studio-- ba1,455 sqft- House for sale"
"0 Brock Rd, Pickering, ON L1V 4G2","C$1,058,000",-- sqft lot- Lot / Land for sale
"0 Altona Rd #1312, Pickering, ON L1V 1M3","C$2,850,888",6 bds6 ba- House for sale
"1109 Maple Gate Rd, Pickering, ON L1X 1B7","C$899,999","4 bds4 ba2,800 sqft- House for sale"
"1867 Spruce Hill Rd, Pickering, ON L1V 1S6","C$900,000",-- sqft lot- Lot / Land for sale
