address,price,details
"1569 Riley Ave, Burlington, ON L7M 3G2","C$1,155,000","4 bds3 ba2,250 sqft- House for sale"
"2458 Cavendish Dr, Burlington, ON L7P 3T8","C$889,000",3 bds2 ba- House for sale
"3030 Jenn Ave, Burlington, ON L7M 0C8","C$1,199,000",4 bds4 ba- House for sale
"1411 Tyandaga Park Dr, Burlington, ON L7P 1N4","C$2,600,000",4 bds5 ba- House for sale
"2594 Bluffs Way, Burlington, ON L7M 0T8","C$4,799,000","5 bds6 ba11,245 sqft- House for sale"
"5165 Banting Ct #65, Burlington, ON L7L 2Z4","C$749,000",4 bds2 ba- Townhouse for sale
"5503 Blind Line, Burlington, ON L7P 0B1","C$4,995,000","5 bds2 ba2,805 sqft- House for sale"
"1121 Cooke Blvd #226, Burlington, ON L7T 0C3","C$729,000","2 bds2 ba1,141 sqft- Townhouse for sale"
"399 Elizabeth St #704, Burlington, ON L7R 0A4","C$1,025,000",2 bds2 ba- Condo for sale
"1270 Maple Crossing Blvd #604, Burlington, ON L7S 2J3","C$529,000",3 bds2 ba- Condo for sale
"457 Plains Rd E #220, Burlington, ON L7T 0B8","C$469,990",1 bd1 ba- Condo for sale
"101 Masonry Ct #B425, Burlington, ON L7T 4A8","C$399,000",Studio1 ba- Condo for sale
"2261 Orchard Rd, Burlington, ON L7L 6Z9","C$1,349,900",4 bds4 ba- House for sale
"5147 Lampman Ave, Burlington, ON L7L 6K1","C$789,000","3 bds2 ba1,207 sqft- House for sale"
"1080 Manorwood Dr, Burlington, ON L7T 2L8","C$999,999",3 bds2 ba- House for sale
"5336 Cedar Springs Rd, Burlington, ON L7P 0B9","C$1,499,900",2 bds4 ba- House for sale
"4292 Chasewood Ct, Burlington, ON L7M 4P8","C$1,699,900",4 bds4 ba- House for sale
"4652 Cornerstone Dr, Burlington, ON L7M 0C8","C$1,299,900",3 bds4 ba- House for sale
"2144 Argon Ct, Burlington, ON L7R 4E6","C$1,399,900",4 bds4 ba- House for sale
"759 Maple Ave, Burlington, ON L7S 2K1","C$999,000","3 bds2 ba1,350 sqft- House for sale"
"117 Foxbar Rd, Burlington, ON L7L 2Z7","C$1,199,900",4 bds3 ba- House for sale
"4142 Galileo Cmn, Burlington, ON L7L 0G7","C$799,000","3 bds4 ba1,561 sqft- Townhouse for sale"
"1121 Cooke Blvd #62, Burlington, ON L7T 0C3","C$839,000",3 bds3 ba- Condo for sale
"5010 Corporate Dr #111, Burlington, ON L7L 0H6","C$489,900",1 bd1 ba- Condo for sale
"217R Thomas Alton Blvd, Burlington, ON L7M 1A2","C$949,900",3 bds3 ba- House for sale
"3963 Lodi Rd, Burlington, ON L7M 0Z6","C$1,149,900",3 bds3 ba- House for sale
"3211 Spruce Ave, Burlington, ON L7N 1J1","C$2,795,000","3 bds3 ba3,960 sqft- House for sale"
"4197 Walkers Line, Burlington, ON L7M 0Y3","C$4,495,000",34 acres lot- Lot / Land for sale
"5506 Blind Line, Burlington, ON L7P 0B2","C$6,999,900",-- sqft lot- Lot / Land for sale
"1040 Brook View Ave, Burlington, ON L7T 1V6","C$699,800","5 bds4 ba3,749 sqft- House for sale"
"4295 Couples Cres, Burlington, ON L7M 4Y8","C$2,150,000","4 bds3 ba2,860 sqft- House for sale"
"415 Locust St #309, Burlington, ON L7S 2J2","C$589,900",1 bd1 ba708 sqft- Condo for sale
"5439 Valleyhigh Dr, Burlington, ON L7L 6Z6","C$1,599,900","4 bds4 ba3,877 sqft- House for sale"
"888 Park Ave W, Burlington, ON L7T 1N6","C$2,698,000","4 bds3 ba3,109 sqft- House for sale"
"2265 Lakeshore Rd #3, Burlington, ON L7R 1B1","C$2,690,000","4 bds5 ba4,400 sqft- New construction"
"6006 Guelph Line, Burlington, ON L7P 0A8","C$1,575,000","4 bds3 ba2,950 sqft- House for sale"
"6575 Twiss Rd, Burlington, ON L7P 0B3","C$3,850,000","4 bds-- ba1,547 sqft- House for sale"
"4758 Deforest Cres, Burlington, ON L7M 0K1","C$1,299,900",4 bds3 ba- House for sale
"3358 Mikalda Rd, Burlington, ON L7M 0K9","C$899,900","3 bds3 ba1,437 sqft- Townhouse for sale"
"5250 Lakeshore Rd #202, Burlington, ON L7L 5L2","C$679,000","3 bds2 ba1,520 sqft- Condo for sale"
"2054 Waterbridge Dr, Burlington, ON L7M 3W2","C$2,049,000","4 bds5 ba4,600 sqft- House for sale"
"2290 Kilbride St, Burlington, ON L7P 0J4","C$4,498,800","5 bds5 ba5,035 sqft- House for sale"
"6505 Appleby Line, Burlington, ON L7M 0P8","C$3,842,000",4 bds5 ba- House for sale
"101 Masonry Ct #B427, Burlington, ON L7T 4A8","C$615,000",1 bd1 ba719 sqft- Condo for sale
"5228 Walkers Line, Burlington, ON L7M 0R1","C$6,195,000","4 bds5 ba7,426 sqft- House for sale"
"855 Cumberland Ave, Burlington, ON L7N 3J7","C$2,000,000",0.74 acres lot- Lot / Land for sale
"2083 Chrisdon Rd, Burlington, ON L7M 3W9","C$799,900",2 bds3 ba- House for sale
"1276 Maple Crossing Blvd #311, Burlington, ON L7S 2J9","C$595,900",2 bds2 ba- Condo for sale
"5010 Corporate Dr #334, Burlington, ON L7L 0H6","C$549,999",2 bds2 ba785 sqft- Condo for sale
"1131 Cooke Blvd, Burlington, ON L7T 0C3","C$699,990",3 bds3 ba- Condo for sale
"1131 Cooke Blvd #17, Burlington, ON L7T 0C3","C$699,990",3 bds3 ba- Townhouse for sale
"3965 Thomas Alton Blvd, Burlington, ON L7M 2A4","C$974,900",3 bds3 ba- House for sale
"291 Camelot Dr, Burlington, ON L7L 2E9","C$1,179,000",3 bds2 ba- House for sale
"3206 Sorrento Cres, Burlington, ON L7M 0N4","C$1,699,999",4 bds5 ba- House for sale
"2566 Harvestmoon Ln, Burlington, ON L7P 0N5","C$2,985,000",-- sqft lot- Lot / Land for sale
"1347 Lakeshore Rd #39, Burlington, ON L7S 1B1","C$359,900",2 bds1 ba- Condo for sale
"101 Masonry Ct #B225, Burlington, ON L7T 4A8","C$389,000",1 bd1 ba- Condo for sale
"538 Dynes Rd, Burlington, ON L7N 2V2","C$1,279,999",3 bds2 ba- House for sale
"1121 Cooke Blvd #92, Burlington, ON L7T 0C3","C$799,900",2 bds3 ba- Condo for sale
"101 Masonry Ct #A207, Burlington, ON L7T 4A8","C$459,999",1 bd1 ba- Condo for sale
"1263 Aldridge Cres, Burlington, ON L7M 1C5","C$899,000",3 bds2 ba- House for sale
"6303 Mcniven Rd, Burlington, ON L7P 0K1","C$3,989,000","6 bds5 ba5,605 sqft- House for sale"
"2425 Barclay Rd, Burlington, ON L7R 2B7","C$799,999",3 bds2 ba- House for sale
"101 Masonry Ct #40, Burlington, ON L7T 4A8","C$699,900","2 bds3 ba1,621 sqft- New construction"
"800 Lasalle Park Rd, Burlington, ON L7T 4G9","C$6,500,000",-- sqft lot- Lot / Land for sale
"159 Oaklands Park Ct, Burlington, ON L7T 4G9","C$2,499,000",4 bds6 ba- House for sale
"101 Masonry Ct #A111, Burlington, ON L7T 4A8","C$494,900",1 bd1 ba- Condo for sale
"1166 Westhaven Dr, Burlington, ON L7P 5B3","C$1,199,900",3 bds4 ba- Condo for sale
"3136 Goodyear Rd, Burlington, ON L7M 0Z9","C$1,248,000",3 bds3 ba- House for sale
