address,price,details
"120 Gordon Cir, Newmarket, ON L3Y 0C9","C$888,000",3 bds4 ba- Townhouse for sale
"70 Hartford Cres, Newmarket, ON L3X 2Z5","C$878,900",3 bds3 ba- Townhouse for sale
"260 Davis Dr #108, Newmarket, ON L3Y 7C3","C$478,000",2 bds1 ba- Condo for sale
"81 Joseph St, Newmarket, ON L3Y 4G9","C$2,198,999",4 bds5 ba- House for sale
"258 Park Ave, Newmarket, ON L3Y 1V2","C$1,295,000",-- sqft lot- Lot / Land for sale
"254/258 Park Ave, Newmarket, ON L3Y 1V5","C$2,545,000",-- sqft lot- Lot / Land for sale
"254 Park Ave, Newmarket, ON L3Y 1V2","C$1,250,000",-- sqft lot- Lot / Land for sale
"220 Woodspring Ave, Newmarket, ON L3X 3G4","C$1,149,000",4 bds4 ba- House for sale
"103 Bravo Ave, Newmarket, ON L3X 0K8","C$799,000",3 bds3 ba- Townhouse for sale
"238 Main St N, Newmarket, ON L3Y 3Z5","C$1,595,000",2 bds1 ba- House for sale
"228 Main St N, Newmarket, ON L3Y 3Z3","C$1,595,000",3 bds2 ba- House for sale
"218 Main St N, Newmarket, ON L3Y 3Z3","C$3,100,000",3 bds3 ba- House for sale
"226 Main St N, Newmarket, ON L3Y 3Z3","C$4,250,000",3 bds1 ba- House for sale
"170 Victoria St, Newmarket, ON L3Y 4E1","C$1,695,000",3 bds4 ba- House for sale
"29 Davis Dr #1015, Newmarket, ON L3Y 2M7","C$8,900,000",Studio-- ba- House for sale
"278 Marble Pl, Newmarket, ON L3X 2X9","C$689,900",3 bds1 ba- House for sale
"106 Main St S, Newmarket, ON L3Y 3Y7","C$1,050,000",4 bds3 ba- House for sale
"973 Davis Dr, Newmarket, ON L3Y 2R7","C$1,299,900",2 bds1 ba- House for sale
"Aurora Hills Luxury Ests, Aurora, ON L3X 0B6","C$1,100,000",Studio-- ba- Condo for sale
"The Davis, New Market, ON L3Y 2L8","C$400,000",Studio-- ba- Condo for sale
